2019-01-09 09:33:57 [restartedMain] [StartupInfoLogger.java/48] INFO  - Starting ApplicationStart on whli-PC with PID 2392 (E:\workspace\whli\JEEWHL\jee-boot\jee-web\target\classes started by whli in E:\workspace\whli\JEEWHL\jee-boot)
2019-01-09 09:33:57 [restartedMain] [SpringApplication.java/597] INFO  - The following profiles are active: dev
2019-01-09 09:34:08 [restartedMain] [StartupInfoLogger.java/57] INFO  - Started ApplicationStart in 11.342 seconds (JVM running for 13.021)
2019-01-09 09:34:16 [http-nio-8088-exec-2] [DruidDataSource.java/930] INFO  - {dataSource-1} inited
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/78] INFO  - 结束 PageInterceptor 拦截器...
2019-01-09 09:34:16 [http-nio-8088-exec-2] [PageInterceptor.java/45] INFO  - 进入 PageInterceptor 拦截器...
